Technical Skills
C
CPP
C++
HTML
CSS
Bootstrap
Algorithm
Algorithms
Data Structure
Operating System
Database
DBMS
Python
SQL
MS SQL
MY SQL
MYSQL
Machine Language
NLP
Deep Learning
Artificial Intelligence
ML
ASP.Net
MVC
 ASP.Net MVC
Json
Javascript
JS
Angular JS
Jquery
Speech recognization
Pandas
Keras
Scikit
Sci-kit
Tensorflow
Keras
Webprogramming
Java
UNIX
LINUX
R
